Airline ID,Departures Performed,Distance, Available Seats, Transported Passengers,Carrier Name,Year,Month ,Day,From - To City,Date,Weekend / Weekday
20330,4,68,0,0,Arctic Transportation,2008,10,24,"Kotlik, AK - St. Mary's, AK",24-10-2008,Weekday
20330,2,84,0,0,Arctic Transportation,2008,12,10,"Marshall, AK - Aniak, AK",10-12-2008,Weekday
20408,4,35,0,0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2008,2,6,"Anchorage, AK - Beluga, AK",06-02-2008,Weekday
20330,5,87,0,0,Arctic Transportation,2008,9,20,"Pilot Station, AK - Bethel, AK",20-09-2008,Weekend
20330,4,59,0,0,Arctic Transportation,2008,11,23,"Kiana, AK - Kotzebue, AK",23-11-2008,Weekend
20330,8,162,0,0,Arctic Transportation,2008,5,27,"Savoonga, AK - Nome, AK",27-05-2008,Weekday
20330,6,67,0,0,Arctic Transportation,2008,3,13,"Kongiganak, AK - Bethel, AK",13-03-2008,Weekday
20330,3,67,0,0,Arctic Transportation,2008,3,19,"Kongiganak, AK - Bethel, AK",19-03-2008,Weekday
20108,2,373,0,0,Northern Air Cargo Inc.,2008,2,6,"Fairbanks, AK - Deadhorse, AK",06-02-2008,Weekday
20330,5,78,0,0,Arctic Transportation,2008,1,17,"Kivalina, AK - Kotzebue, AK",17-01-2008,Weekday
